"","h_ownership","h_es","h_ehr","h_rating","h_mortality","h_soc","h_ra","h_pex","h_eoc","h_toc","h_imaging"
"409","Voluntary non-profit - Private","Yes","Y","HHQ","Same as the national average","Above the national average","Above the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average"
"410","Voluntary non-profit - Other","Yes","Y","HHQ","Same as the national average","Above the national average","Above the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average"
"411","Voluntary non-profit - Private","Yes","Y","HHQ","Above the national average","Above the national average","Below the national average","Same as the national average","Same as the national average","Below the national average","Above the national average"
"412","Voluntary non-profit - Other","Yes","Y","HHQ","Same as the national average","Same as the national average","Same as the national average","Above the national average","Below the national average","Above the national average","Same as the national average"
"413","Voluntary non-profit - Private","Yes","Y","HHQ","Same as the national average","Above the national average","Same as the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average"
"414","Voluntary non-profit - Other","No","Y","HHQ","Same as the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average","Below the national average"
"415","Voluntary non-profit - Private","Yes","Y","HHQ","Same as the national average","Same as the national average","Same as the national average","Above the national average","Same as the national average","Above the national average","Same as the national average"
"416","Voluntary non-profit - Other","Yes","Y","HHQ","Same as the national average","Above the national average","Same as the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average"
"417","Voluntary non-profit - Private","Yes","Y","HHQ","Above the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average"
"418","Government - Local","No","Y","HHQ","Same as the national average","Same as the national average","Same as the national average","Above the national average","Same as the national average","Above the national average","Same as the national average"
"419","Voluntary non-profit - Private","Yes","Y","HHQ","Above the national average","Same as the national average","Same as the national average","Above the national average","Same as the national average","Same as the national average","Below the national average"
"420","Voluntary non-profit - Other","Yes","Y","HHQ","Same as the national average","Same as the national average","Above the national average","Same as the national average","Same as the national average","Above the national average","Same as the national average"
"421","Voluntary non-profit - Church","Yes","Y","HHQ","Same as the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average","Below the national average","Above the national average"
"422","Voluntary non-profit - Private","Yes","Y","HHQ","Above the national average","Below the national average","Above the national average","Above the national average","Same as the national average","Below the national average","Same as the national average"
"423","Voluntary non-profit - Private","Yes","Y","HHQ","Above the national average","Above the national average","Same as the national average","Below the national average","Same as the national average","Same as the national average","Same as the national average"
"424","Voluntary non-profit - Church","Yes","Y","HHQ","Same as the national average","Above the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average"
"425","Voluntary non-profit - Private","Yes","Y","HHQ","Above the national average","Above the national average","Below the national average","Above the national average","Same as the national average","Same as the national average","Above the national average"
"426","Voluntary non-profit - Private","Yes","Y","HHQ","Same as the national average","Above the national average","Same as the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average"
"427","Voluntary non-profit - Private","Yes","Y","HHQ","Same as the national average","Same as the national average","Same as the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average"
"428","Voluntary non-profit - Other","Yes","Y","HHQ","Same as the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average"
"429","Voluntary non-profit - Private","Yes","Y","HHQ","Above the national average","Below the national average","Below the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average"
"430","Voluntary non-profit - Private","Yes","Y","HHQ","Same as the national average","Above the national average","Same as the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average"
"431","Voluntary non-profit - Church","Yes","Y","HHQ","Above the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average"
"432","Voluntary non-profit - Church","Yes","Y","HHQ","Same as the national average","Same as the national average","Above the national average","Above the national average","Same as the national average","Above the national average","Same as the national average"
"433","Voluntary non-profit - Other","Yes","Y","HHQ","Same as the national average","Same as the national average","Same as the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average"
"434","Government - Hospital District or Authority","Yes","Y","HHQ","Same as the national average","Above the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average","Below the national average"
"435","Voluntary non-profit - Private","Yes","Y","HHQ","Same as the national average","Same as the national average","Above the national average","Same as the national average","Same as the national average","Above the national average","Same as the national average"
"436","Proprietary","Yes","Y","HHQ","Same as the national average","Above the national average","Above the national average","Above the national average","Same as the national average","Above the national average","Below the national average"
"437","Voluntary non-profit - Other","Yes","Y","HHQ","Same as the national average","Same as the national average","Above the national average","Above the national average","Same as the national average","Above the national average","Same as the national average"
"438","Government - Local","Yes","Y","HHQ","Same as the national average","Same as the national average","Same as the national average","Above the national average","Same as the national average","Above the national average","Same as the national average"
"439","Voluntary non-profit - Private","Yes","Y","HHQ","Same as the national average","Above the national average","Above the national average","Same as the national average","Same as the national average","Above the national average","Same as the national average"
"440","Voluntary non-profit - Church","Yes","Y","HHQ","Same as the national average","Same as the national average","Same as the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average"
"441","Voluntary non-profit - Church","Yes","Y","HHQ","Same as the national average","Below the national average","Above the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average"
"442","Voluntary non-profit - Private","Yes","Y","HHQ","Same as the national average","Above the national average","Above the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average"
"443","Voluntary non-profit - Private","Yes","Y","HHQ","Same as the national average","Same as the national average","Above the national average","Same as the national average","Same as the national average","Below the national average","Same as the national average"
"444","Voluntary non-profit - Private","Yes","Y","HHQ","Same as the national average","Same as the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average"
"445","Voluntary non-profit - Other","Yes","Y","HHQ","Same as the national average","Above the national average","Above the national average","Below the national average","Same as the national average","Same as the national average","Same as the national average"
"446","Voluntary non-profit - Other","Yes","Y","HHQ","Below the national average","Above the national average","Above the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average"
"447","Voluntary non-profit - Private","Yes","Y","HHQ","Above the national average","Same as the national average","Above the national average","Same as the national average","Same as the national average","Below the national average","Above the national average"
"448","Voluntary non-profit - Other","Yes","Y","HHQ","Same as the national average","Same as the national average","Same as the national average","Above the national average","Same as the national average","Above the national average","Same as the national average"
"449","Voluntary non-profit - Other","Yes","Y","HHQ","Above the national average","Below the national average","Above the national average","Above the national average","Above the national average","Same as the national average","Same as the national average"
"450","Voluntary non-profit - Other","Yes","Y","HHQ","Same as the national average","Above the national average","Above the national average","Above the national average","Same as the national average","Same as the national average","Below the national average"
"451","Voluntary non-profit - Other","Yes","Y","HHQ","Same as the national average","Above the national average","Same as the national average","Below the national average","Same as the national average","Above the national average","Same as the national average"
"452","Voluntary non-profit - Other","Yes","Y","HHQ","Above the national average","Below the national average","Above the national average","Same as the national average","Above the national average","Same as the national average","Same as the national average"
"453","Voluntary non-profit - Private","Yes","Y","HHQ","Above the national average","Same as the national average","Above the national average","Same as the national average","Above the national average","Same as the national average","Same as the national average"
"454","Voluntary non-profit - Private","Yes","Y","HHQ","Same as the national average","Above the national average","Above the national average","Same as the national average","Above the national average","Same as the national average","Same as the national average"
"455","Voluntary non-profit - Private","Yes","Y","HHQ","Same as the national average","Same as the national average","Below the national average","Above the national average","Same as the national average","Below the national average","Same as the national average"
"456","Voluntary non-profit - Private","Yes","Y","HHQ","Above the national average","Same as the national average","Above the national average","Above the national average","Same as the national average","Below the national average","Same as the national average"
"457","Voluntary non-profit - Other","Yes","Y","HHQ","Same as the national average","Above the national average","Same as the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average"
"458","Voluntary non-profit - Private","Yes","Y","HHQ","Same as the national average","Above the national average","Above the national average","Same as the national average","Same as the national average","Above the national average","Same as the national average"
"459","Voluntary non-profit - Private","Yes","Y","HHQ","Same as the national average","Above the national average","Above the national average","Same as the national average","Same as the national average","Above the national average","Same as the national average"
"460","Voluntary non-profit - Private","Yes","Y","HHQ","Same as the national average","Same as the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average"
"461","Government - Local","Yes","Y","HHQ","Above the national average","Above the national average","Same as the national average","Below the national average","Below the national average","Same as the national average","Same as the national average"
"462","Voluntary non-profit - Private","Yes","Y","HHQ","Above the national average","Below the national average","Above the national average","Above the national average","Same as the national average","Below the national average","Same as the national average"
"463","Voluntary non-profit - Private","Yes","Y","HHQ","Same as the national average","Same as the national average","Above the national average","Above the national average","Same as the national average","Above the national average","Same as the national average"
"464","Voluntary non-profit - Private","Yes","Y","HHQ","Above the national average","Above the national average","Below the national average","Same as the national average","Below the national average","Below the national average","Same as the national average"
"465","Voluntary non-profit - Private","Yes","Y","HHQ","Same as the national average","Above the national average","Same as the national average","Above the national average","Same as the national average","Below the national average","Same as the national average"
"466","Voluntary non-profit - Private","Yes","Y","HHQ","Same as the national average","Below the national average","Above the national average","Above the national average","Same as the national average","Below the national average","Same as the national average"
"467","Voluntary non-profit - Other","Yes","Y","HHQ","Above the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average","Below the national average","Same as the national average"
"468","Voluntary non-profit - Private","Yes","Y","HHQ","Same as the national average","Same as the national average","Same as the national average","Above the national average","Above the national average","Above the national average","Same as the national average"
"469","Voluntary non-profit - Church","Yes","Y","HHQ","Same as the national average","Above the national average","Below the national average","Above the national average","Same as the national average","Below the national average","Same as the national average"
"470","Voluntary non-profit - Private","Yes","Y","HHQ","Same as the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average"
"471","Voluntary non-profit - Private","Yes","Y","HHQ","Same as the national average","Same as the national average","Same as the national average","Above the national average","Same as the national average","Above the national average","Same as the national average"
"472","Voluntary non-profit - Private","Yes","Y","HHQ","Same as the national average","Above the national average","Below the national average","Above the national average","Above the national average","Same as the national average","Same as the national average"
"473","Voluntary non-profit - Private","Yes","Y","HHQ","Above the national average","Same as the national average","Above the national average","Above the national average","Same as the national average","Same as the national average","Above the national average"
"474","Voluntary non-profit - Private","Yes","Y","HHQ","Same as the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average"
"475","Voluntary non-profit - Private","Yes","Y","HHQ","Above the national average","Below the national average","Above the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average"
"476","Voluntary non-profit - Private","Yes","Y","HHQ","Above the national average","Above the national average","Below the national average","Above the national average","Same as the national average","Below the national average","Above the national average"
"477","Voluntary non-profit - Private","Yes","Y","HHQ","Below the national average","Above the national average","Above the national average","Above the national average","Above the national average","Same as the national average","Above the national average"
"478","Proprietary","Yes","Y","HHQ","Same as the national average","Above the national average","Above the national average","Above the national average","Below the national average","Below the national average","Above the national average"
"479","Voluntary non-profit - Private","Yes","Y","HHQ","Same as the national average","Same as the national average","Same as the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average"
"480","Proprietary","Yes","Y","HHQ","Same as the national average","Same as the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average"
"481","Voluntary non-profit - Private","Yes","Y","HHQ","Same as the national average","Above the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average"
"482","Voluntary non-profit - Other","Yes","Y","HHQ","Same as the national average","Above the national average","Same as the national average","Above the national average","Same as the national average","Below the national average","Above the national average"
"483","Voluntary non-profit - Other","Yes","Y","HHQ","Same as the national average","Above the national average","Same as the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average"
"484","Voluntary non-profit - Other","Yes","Y","HHQ","Same as the national average","Above the national average","Below the national average","Same as the national average","Same as the national average","Below the national average","Above the national average"
"485","Voluntary non-profit - Private","Yes","Y","HHQ","Below the national average","Above the national average","Above the national average","Same as the national average","Same as the national average","Below the national average","Same as the national average"
"486","Proprietary","Yes","Y","HHQ","Same as the national average","Same as the national average","Above the national average","Above the national average","Same as the national average","Above the national average","Same as the national average"
"487","Voluntary non-profit - Private","Yes","Y","HHQ","Same as the national average","Same as the national average","Above the national average","Above the national average","Above the national average","Above the national average","Below the national average"
"488","Government - Hospital District or Authority","Yes","Y","HHQ","Same as the national average","Same as the national average","Same as the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average"
"489","Voluntary non-profit - Private","Yes","Y","HHQ","Same as the national average","Same as the national average","Above the national average","Above the national average","Above the national average","Above the national average","Same as the national average"
"490","Voluntary non-profit - Church","Yes","Y","HHQ","Same as the national average","Same as the national average","Above the national average","Above the national average","Same as the national average","Above the national average","Same as the national average"
"491","Voluntary non-profit - Private","Yes","Y","HHQ","Same as the national average","Same as the national average","Above the national average","Same as the national average","Same as the national average","Above the national average","Same as the national average"
"492","Voluntary non-profit - Private","Yes","Y","HHQ","Same as the national average","Above the national average","Above the national average","Above the national average","Same as the national average","Above the national average","Same as the national average"
"493","Voluntary non-profit - Other","Yes","Y","HHQ","Same as the national average","Below the national average","Above the national average","Above the national average","Same as the national average","Same as the national average","Above the national average"
"494","Voluntary non-profit - Private","Yes","Y","HHQ","Same as the national average","Same as the national average","Same as the national average","Above the national average","Same as the national average","Above the national average","Same as the national average"
"495","Voluntary non-profit - Private","Yes","Y","HHQ","Same as the national average","Same as the national average","Same as the national average","Above the national average","Same as the national average","Above the national average","Same as the national average"
"496","Government - Hospital District or Authority","Yes","Y","HHQ","Same as the national average","Same as the national average","Above the national average","Above the national average","Same as the national average","Above the national average","Same as the national average"
"497","Government - Local","Yes","Y","HHQ","Same as the national average","Above the national average","Same as the national average","Above the national average","Same as the national average","Above the national average","Same as the national average"
"498","Voluntary non-profit - Other","Yes","Y","HHQ","Same as the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average"
"499","Voluntary non-profit - Private","Yes","Y","HHQ","Same as the national average","Above the national average","Same as the national average","Above the national average","Same as the national average","Below the national average","Same as the national average"
"500","Voluntary non-profit - Private","Yes","Y","HHQ","Same as the national average","Same as the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average"
"501","Voluntary non-profit - Private","Yes","Y","HHQ","Same as the national average","Same as the national average","Same as the national average","Above the national average","Same as the national average","Above the national average","Same as the national average"
"502","Voluntary non-profit - Private","Yes","Y","HHQ","Below the national average","Above the national average","Above the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average"
"503","Voluntary non-profit - Church","Yes","Y","HHQ","Below the national average","Same as the national average","Above the national average","Same as the national average","Above the national average","Below the national average","Above the national average"
"504","Proprietary","Yes","Y","HHQ","Above the national average","Above the national average","Above the national average","Below the national average","Same as the national average","Below the national average","Below the national average"
"505","Voluntary non-profit - Private","Yes","Y","HHQ","Above the national average","Above the national average","Below the national average","Above the national average","Above the national average","Below the national average","Above the national average"
"506","Proprietary","Yes","Y","HHQ","Same as the national average","Above the national average","Above the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average"
"507","Voluntary non-profit - Church","Yes","Y","HHQ","Same as the national average","Above the national average","Above the national average","Above the national average","Same as the national average","Same as the national average","Below the national average"
"508","Voluntary non-profit - Private","Yes","Y","HHQ","Above the national average","Above the national average","Above the national average","Below the national average","Same as the national average","Same as the national average","Below the national average"
"509","Voluntary non-profit - Private","Yes","Y","HHQ","Above the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average","Below the national average","Below the national average"
"510","Voluntary non-profit - Private","Yes","Y","HHQ","Above the national average","Above the national average","Below the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average"
"511","Voluntary non-profit - Private","Yes","Y","HHQ","Same as the national average","Above the national average","Above the national average","Same as the national average","Same as the national average","Below the national average","Same as the national average"
"512","Proprietary","Yes","Y","HHQ","Above the national average","Below the national average","Above the national average","Above the national average","Same as the national average","Below the national average","Above the national average"
"513","Voluntary non-profit - Church","Yes","Y","HHQ","Same as the national average","Same as the national average","Above the national average","Same as the national average","Same as the national average","Below the national average","Above the national average"
"514","Voluntary non-profit - Private","Yes","Y","HHQ","Same as the national average","Same as the national average","Same as the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average"
"515","Proprietary","Yes","Y","HHQ","Same as the national average","Above the national average","Same as the national average","Same as the national average","Above the national average","Below the national average","Same as the national average"
"516","Voluntary non-profit - Private","Yes","Y","HHQ","Same as the national average","Above the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average"
"517","Government - Hospital District or Authority","Yes","Y","HHQ","Same as the national average","Same as the national average","Above the national average","Same as the national average","Same as the national average","Above the national average","Above the national average"
"518","Voluntary non-profit - Private","Yes","Y","HHQ","Same as the national average","Above the national average","Above the national average","Above the national average","Above the national average","Above the national average","Same as the national average"
"519","Voluntary non-profit - Private","Yes","Y","HHQ","Same as the national average","Above the national average","Above the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average"
"520","Proprietary","Yes","Y","HHQ","Same as the national average","Above the national average","Above the national average","Below the national average","Same as the national average","Same as the national average","Same as the national average"
"521","Voluntary non-profit - Church","Yes","Y","HHQ","Same as the national average","Same as the national average","Above the national average","Same as the national average","Below the national average","Same as the national average","Same as the national average"
"522","Government - Hospital District or Authority","Yes","Y","HHQ","Above the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average","Below the national average","Same as the national average"
"523","Government - State","Yes","Y","HHQ","Same as the national average","Same as the national average","Above the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average"
"524","Proprietary","Yes","Y","HHQ","Above the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average","Below the national average"
"525","Proprietary","Yes","Y","HHQ","Above the national average","Below the national average","Same as the national average","Below the national average","Same as the national average","Above the national average","Same as the national average"
"526","Proprietary","Yes","Y","HHQ","Same as the national average","Above the national average","Below the national average","Above the national average","Same as the national average","Above the national average","Above the national average"
"527","Voluntary non-profit - Other","Yes","Y","HHQ","Same as the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average"
"528","Voluntary non-profit - Private","Yes","Y","HHQ","Above the national average","Above the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average"
"529","Voluntary non-profit - Private","Yes","Y","HHQ","Same as the national average","Same as the national average","Above the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average"
"530","Proprietary","Yes","Y","HHQ","Same as the national average","Above the national average","Same as the national average","Above the national average","Above the national average","Same as the national average","Above the national average"
"531","Voluntary non-profit - Private","Yes","Y","HHQ","Above the national average","Above the national average","Same as the national average","Above the national average","Same as the national average","Below the national average","Below the national average"
"532","Voluntary non-profit - Private","Yes","Y","HHQ","Above the national average","Above the national average","Same as the national average","Above the national average","Same as the national average","Below the national average","Same as the national average"
"533","Voluntary non-profit - Private","Yes","Y","HHQ","Same as the national average","Above the national average","Same as the national average","Above the national average","Same as the national average","Same as the national average","Below the national average"
"534","Voluntary non-profit - Private","Yes","Y","HHQ","Same as the national average","Same as the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average"
"535","Proprietary","Yes","Y","HHQ","Above the national average","Above the national average","Above the national average","Same as the national average","Same as the national average","Below the national average","Same as the national average"
"536","Proprietary","Yes","Y","HHQ","Same as the national average","Same as the national average","Same as the national average","Above the national average","Same as the national average","Above the national average","Same as the national average"
"537","Voluntary non-profit - Other","Yes","Y","HHQ","Same as the national average","Same as the national average","Above the national average","Above the national average","Same as the national average","Above the national average","Same as the national average"
"538","Voluntary non-profit - Private","Yes","Y","HHQ","Same as the national average","Same as the national average","Above the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average"
"539","Voluntary non-profit - Private","Yes","Y","HHQ","Same as the national average","Same as the national average","Same as the national average","Above the national average","Same as the national average","Above the national average","Same as the national average"
"540","Government - State","Yes","Y","HHQ","Same as the national average","Above the national average","Above the national average","Above the national average","Same as the national average","Below the national average","Above the national average"
"541","Voluntary non-profit - Private","Yes","Y","HHQ","Same as the national average","Same as the national average","Above the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average"
"542","Voluntary non-profit - Private","Yes","Y","HHQ","Below the national average","Above the national average","Above the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average"
"543","Proprietary","Yes","Y","HHQ","Same as the national average","Above the national average","Above the national average","Above the national average","Same as the national average","Above the national average","Same as the national average"
"544","Voluntary non-profit - Private","Yes","Y","HHQ","Same as the national average","Same as the national average","Above the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average"
"545","Voluntary non-profit - Private","Yes","Y","HHQ","Same as the national average","Above the national average","Above the national average","Same as the national average","Same as the national average","Below the national average","Same as the national average"
"546","Voluntary non-profit - Private","Yes","Y","HHQ","Same as the national average","Same as the national average","Above the national average","Above the national average","Same as the national average","Below the national average","Same as the national average"
"547","Voluntary non-profit - Private","Yes","Y","HHQ","Same as the national average","Same as the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average"
"548","Voluntary non-profit - Private","Yes","Y","HHQ","Above the national average","Above the national average","Above the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average"
"549","Voluntary non-profit - Other","Yes","Y","HHQ","Same as the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average"
"550","Voluntary non-profit - Private","Yes","Y","HHQ","Same as the national average","Same as the national average","Above the national average","Above the national average","Same as the national average","Below the national average","Same as the national average"
"551","Voluntary non-profit - Other","Yes","Y","HHQ","Same as the national average","Above the national average","Above the national average","Above the national average","Same as the national average","Below the national average","Above the national average"
"552","Voluntary non-profit - Other","Yes","Y","HHQ","Same as the national average","Above the national average","Above the national average","Above the national average","Same as the national average","Below the national average","Same as the national average"
"553","Voluntary non-profit - Private","Yes","Y","HHQ","Same as the national average","Above the national average","Above the national average","Above the national average","Above the national average","Below the national average","Same as the national average"
"554","Voluntary non-profit - Church","Yes","Y","HHQ","Same as the national average","Same as the national average","Above the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average"
"555","Proprietary","Yes","Y","HHQ","Above the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average","Above the national average","Below the national average"
"556","Voluntary non-profit - Private","Yes","Y","HHQ","Same as the national average","Above the national average","Above the national average","Above the national average","Same as the national average","Below the national average","Same as the national average"
"557","Voluntary non-profit - Church","Yes","Y","HHQ","Same as the national average","Above the national average","Above the national average","Same as the national average","Same as the national average","Below the national average","Same as the national average"
"558","Voluntary non-profit - Private","Yes","Y","HHQ","Same as the national average","Same as the national average","Same as the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average"
"559","Voluntary non-profit - Other","Yes","Y","HHQ","Same as the national average","Above the national average","Below the national average","Above the national average","Same as the national average","Above the national average","Same as the national average"
"560","Voluntary non-profit - Other","Yes","Y","HHQ","Same as the national average","Above the national average","Same as the national average","Above the national average","Above the national average","Above the national average","Same as the national average"
"561","Voluntary non-profit - Other","Yes","Y","HHQ","Above the national average","Same as the national average","Above the national average","Above the national average","Same as the national average","Below the national average","Same as the national average"
"562","Voluntary non-profit - Private","Yes","Y","HHQ","Same as the national average","Same as the national average","Same as the national average","Above the national average","Same as the national average","Above the national average","Same as the national average"
"563","Voluntary non-profit - Other","Yes","Y","HHQ","Below the national average","Above the national average","Above the national average","Above the national average","Same as the national average","Below the national average","Same as the national average"
"564","Voluntary non-profit - Private","Yes","Y","HHQ","Same as the national average","Above the national average","Same as the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average"
"565","Government - Hospital District or Authority","Yes","Y","HHQ","Same as the national average","Same as the national average","Above the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average"
"566","Voluntary non-profit - Private","Yes","Y","HHQ","Below the national average","Above the national average","Above the national average","Above the national average","Same as the national average","Above the national average","Same as the national average"
"567","Voluntary non-profit - Other","Yes","Y","HHQ","Below the national average","Above the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average","Above the national average"
"568","Voluntary non-profit - Private","Yes","Y","HHQ","Same as the national average","Above the national average","Above the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average"
"569","Proprietary","Yes","Y","HHQ","Same as the national average","Same as the national average","Same as the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average"
"570","Voluntary non-profit - Church","Yes","Y","HHQ","Same as the national average","Same as the national average","Same as the national average","Above the national average","Above the national average","Above the national average","Same as the national average"
"571","Voluntary non-profit - Private","Yes","Y","HHQ","Same as the national average","Same as the national average","Same as the national average","Above the national average","Same as the national average","Above the national average","Same as the national average"
"572","Voluntary non-profit - Private","Yes","Y","HHQ","Below the national average","Same as the national average","Above the national average","Same as the national average","Same as the national average","Above the national average","Same as the national average"
"573","Voluntary non-profit - Private","Yes","Y","HHQ","Same as the national average","Above the national average","Same as the national average","Above the national average","Same as the national average","Above the national average","Same as the national average"
"574","Voluntary non-profit - Private","Yes","Y","HHQ","Same as the national average","Above the national average","Above the national average","Above the national average","Above the national average","Above the national average","Same as the national average"
"575","Voluntary non-profit - Church","Yes","Y","HHQ","Same as the national average","Below the national average","Above the national average","Above the national average","Same as the national average","Above the national average","Same as the national average"
"576","Voluntary non-profit - Church","Yes","Y","HHQ","Same as the national average","Same as the national average","Same as the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average"
"577","Voluntary non-profit - Private","Yes","Y","HHQ","Same as the national average","Same as the national average","Above the national average","Above the national average","Same as the national average","Above the national average","Same as the national average"
"578","Voluntary non-profit - Private","Yes","Y","HHQ","Same as the national average","Same as the national average","Above the national average","Above the national average","Same as the national average","Above the national average","Same as the national average"
"579","Voluntary non-profit - Private","Yes","Y","HHQ","Same as the national average","Same as the national average","Above the national average","Above the national average","Same as the national average","Above the national average","Same as the national average"
