h_type,h_ownership,h_es,h_ehr,h_rating,h_mortality,h_soc,h_ra,h_pex,h_eoc,h_toc,h_imaging
Acute Care Hospitals,Voluntary non-profit - Church,Yes,Y,4,Same as the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,Above the national average,Same as the national average
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,Same as the national average,Same as the national average,Above the national average,Above the national average,Same as the national average,Above the national average,Below the national average
Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,4,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,Above the national average,Below the national average
Acute Care Hospitals,Government - Local,Yes,Y,4,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,Above the national average,Same as the national average
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,Same as the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Above the national average
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,Same as the national average,Same as the national average,Above the national average,Above the national average,Same as the national average,Above the national average,Same as the national average
Acute Care Hospitals,Government - Local,Yes,Y,4,Same as the national average,Same as the national average,Above the national average,Above the national average,Same as the national average,Above the national average,Below the national average
Acute Care Hospitals,Proprietary,Yes,Y,4,Same as the national average,Above the national average,Above the national average,Same as the national average,Above the national average,Above the national average,Same as the national average
Acute Care Hospitals,Voluntary non-profit - Church,Yes,Y,4,Same as the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average
Acute Care Hospitals,Proprietary,Yes,Y,4,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average
Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,4,Same as the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Above the national average,Same as the national average
Acute Care Hospitals,Proprietary,Yes,Y,4,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average
Acute Care Hospitals,Government - Local,Yes,Y,4,Same as the national average,Above the national average,Above the national average,Same as the national average,Below the national average,Below the national average,Same as the national average
Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,4,Above the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,Same as the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average
Acute Care Hospitals,Voluntary non-profit - Church,Yes,Y,4,Above the national average,Above the national average,Below the national average,Above the national average,Same as the national average,Same as the national average,Above the national average
Acute Care Hospitals,Voluntary non-profit - Church,Yes,Y,4,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average
Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,4,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average
Acute Care Hospitals,Proprietary,Yes,Y,4,Same as the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average
Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,4,Same as the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Below the national average,Same as the national average
Acute Care Hospitals,Proprietary,Yes,Y,4,Same as the national average,Above the national average,Below the national average,Above the national average,Same as the national average,Above the national average,Same as the national average
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,Same as the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Below the national average,Above the national average
Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,4,Same as the national average,Below the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Below the national average
Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,4,Above the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Below the national average
Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,4,Same as the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,Above the national average,Below the national average
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Below the national average
Acute Care Hospitals,Voluntary non-profit - Church,Yes,Y,4,Same as the national average,Above the national average,Same as the national average,Above the national average,Below the national average,Same as the national average,Above the national average
Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,4,Above the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Below the national average
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,Above the national average,Below the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Below the national average
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Below the national average,Below the national average
Acute Care Hospitals,Proprietary,Yes,Y,4,Same as the national average,Same as the national average,Above the national average,Above the national average,Same as the national average,Above the national average,Same as the national average
Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,4,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Below the national average
Acute Care Hospitals,Proprietary,Yes,Y,4,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Above the national average,Below the national average
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,Same as the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Below the national average
Acute Care Hospitals,Proprietary,Yes,Y,4,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
Acute Care Hospitals,Voluntary non-profit - Church,Yes,Y,4,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,Below the national average,Same as the national average
Acute Care Hospitals,Voluntary non-profit - Church,Yes,Y,4,Same as the national average,Same as the national average,Above the national average,Above the national average,Same as the national average,Below the national average,Same as the national average
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,Same as the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,Above the national average,Same as the national average
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,Same as the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average
Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,4,Same as the national average,Same as the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Above the national average
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,Same as the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,Below the national average,Above the national average
Acute Care Hospitals,Proprietary,Yes,Y,4,Above the national average,Above the national average,Below the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,Above the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Above the national average
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,Above the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average
Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,4,Same as the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,Above the national average,Above the national average,Below the national average,Above the national average,Same as the national average,Below the national average,Above the national average
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,Same as the national average,Same as the national average,Above the national average,Above the national average,Same as the national average,Below the national average,Above the national average
Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,4,Above the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,Below the national average,Same as the national average
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,Above the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,Below the national average,Above the national average
Acute Care Hospitals,Government - Federal,Yes,Y,4,Above the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,Above the national average,Same as the national average,Below the national average,Above the national average,Above the national average,Below the national average,Same as the national average
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,Above the national average,Same as the national average
Acute Care Hospitals,Voluntary non-profit - Church,Yes,Y,4,Above the national average,Same as the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average
Acute Care Hospitals,Government - Local,Yes,Y,4,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average
Acute Care Hospitals,Proprietary,Yes,Y,4,Same as the national average,Above the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Below the national average
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,Same as the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average
Acute Care Hospitals,Government - Local,Yes,Y,4,Same as the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average
Acute Care Hospitals,Voluntary non-profit - Church,Yes,Y,4,Same as the national average,Same as the national average,Same as the national average,Above the national average,Above the national average,Same as the national average,Above the national average
Acute Care Hospitals,Voluntary non-profit - Church,Yes,Y,4,Same as the national average,Same as the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Same as the national average
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,Same as the national average,Above the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average
Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,4,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average
Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,4,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,4,Above the national average,Above the national average,Same as the national average,Below the national average,Same as the national average,Below the national average,Same as the national average
Acute Care Hospitals,Government - Local,Yes,Y,4,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Below the national average
Acute Care Hospitals,Government - Local,Yes,Y,4,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,Above the national average,Same as the national average
Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,4,Same as the national average,Below the national average,Above the national average,Above the national average,Same as the national average,Below the national average,Above the national average
Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,4,Same as the national average,Same as the national average,Above the national average,Above the national average,Above the national average,Above the national average,Below the national average
Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,4,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average
Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,4,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Above the national average,Below the national average
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,Same as the national average,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,4,Same as the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,Same as the national average,Above the national average,Below the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,Above the national average,Same as the national average,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,Same as the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,Same as the national average,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,Above the national average,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,Same as the national average,Same as the national average,Above the national average,Above the national average,Same as the national average,Above the national average,Same as the national average
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,Same as the national average,Below the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
Acute Care Hospitals,Voluntary non-profit - Private,No,Y,4,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,Same as the national average,Same as the national average,Above the national average,Above the national average,Above the national average,Above the national average,Same as the national average
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,Above the national average,Same as the national average
Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,4,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,Above the national average,Same as the national average
Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,4,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Above the national average
Acute Care Hospitals,Voluntary non-profit - Church,Yes,Y,4,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,Above the national average,Same as the national average
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,Same as the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Above the national average
Acute Care Hospitals,Voluntary non-profit - Church,Yes,Y,4,Same as the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Above the national average
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,Same as the national average,Below the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average
Acute Care Hospitals,Voluntary non-profit - Private,No,Y,4,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,4,Same as the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,Above the national average,Same as the national average
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,Same as the national average,Above the national average,Same as the national average,Below the national average,Same as the national average,Above the national average,Same as the national average
Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,4,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,Above the national average,Same as the national average
Acute Care Hospitals,Proprietary,Yes,Y,4,Same as the national average,Above the national average,Same as the national average,Above the national average,Above the national average,Above the national average,Same as the national average
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,Above the national average,Above the national average,Below the national average,Above the national average,Above the national average,Same as the national average,Above the national average
Acute Care Hospitals,Proprietary,Yes,Y,4,Same as the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Above the national average,Below the national average
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,Same as the national average,Above the national average,Same as the national average,Below the national average,Same as the national average,Below the national average,Same as the national average
Acute Care Hospitals,Voluntary non-profit - Church,Yes,Y,4,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,Above the national average,Same as the national average
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average
Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,4,Same as the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Above the national average
Acute Care Hospitals,Government - Local,Yes,Y,4,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average
Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,4,Above the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,4,Same as the national average,Above the national average,Above the national average,Same as the national average,Below the national average,Above the national average,Same as the national average
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,Above the national average,Below the national average,Above the national average,Above the national average,Above the national average,Above the national average,Above the national average
Acute Care Hospitals,Proprietary,Yes,Y,4,Same as the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,Above the national average,Same as the national average
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Above the national average
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,Same as the national average,Same as the national average,Above the national average,Above the national average,Same as the national average,Below the national average,Same as the national average
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,Same as the national average,Same as the national average,Above the national average,Below the national average,Same as the national average,Below the national average,Same as the national average
Acute Care Hospitals,Voluntary non-profit - Church,Yes,Y,4,Below the national average,Same as the national average,Above the national average,Above the national average,Same as the national average,Above the national average,Same as the national average
Acute Care Hospitals,Voluntary non-profit - Church,Yes,Y,4,Same as the national average,Below the national average,Above the national average,Above the national average,Same as the national average,Above the national average,Above the national average
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,Same as the national average,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,Below the national average,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average
Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,4,Same as the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Above the national average,Same as the national average
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,Below the national average,Same as the national average
Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,4,Above the national average,Below the national average,Above the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,Same as the national average,Below the national average,Above the national average,Above the national average,Same as the national average,Below the national average,Same as the national average
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Below the national average,Above the national average
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,Same as the national average,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,Above the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,Above the national average,Above the national average,Same as the national average,Below the national average,Same as the national average,Below the national average,Same as the national average
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,Above the national average,Below the national average,Above the national average,Same as the national average,Same as the national average,Below the national average,Above the national average
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,Above the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Below the national average,Above the national average
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,Above the national average,Above the national average,Same as the national average,Below the national average,Same as the national average,Below the national average,Same as the national average
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,Same as the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average
Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,4,Same as the national average,Above the national average,Above the national average,Below the national average,Same as the national average,Below the national average,Same as the national average
Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,4,Same as the national average,Same as the national average,Above the national average,Below the national average,Same as the national average,Below the national average,Above the national average
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,Above the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,Above the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Below the national average,Above the national average
Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,4,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,4,Same as the national average,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,Above the national average,Above the national average,Same as the national average,Below the national average,Above the national average,Below the national average,Below the national average
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,Above the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,Below the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,Above the national average,Same as the national average,Below the national average,Above the national average,Same as the national average,Below the national average,Same as the national average
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,Same as the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Below the national average,Above the national average
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,Above the national average,Below the national average,Above the national average,Below the national average,Same as the national average,Below the national average,Same as the national average
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,Same as the national average,Above the national average,Below the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,Same as the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Below the national average,Above the national average
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Below the national average,Above the national average
Acute Care Hospitals,Government - Local,Yes,Y,4,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Below the national average
Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,4,Below the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Below the national average
Acute Care Hospitals,Proprietary,Yes,Y,4,Same as the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,Below the national average,Same as the national average
Acute Care Hospitals,Government - Local,Yes,Y,4,Below the national average,Above the national average,Above the national average,Below the national average,Same as the national average,Below the national average,Above the national average
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,Same as the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,Below the national average,Same as the national average
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,Same as the national average,Above the national average,Below the national average,Above the national average,Same as the national average,Same as the national average,Above the national average
Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,4,Same as the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Above the national average
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,Above the national average,Same as the national average,Above the national average,Above the national average,Same as the national average,Below the national average,Above the national average
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average
Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,4,Same as the national average,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,4,Same as the national average,Above the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Above the national average
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Below the national average
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,Above the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,4,Same as the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Above the national average,Below the national average
Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,4,Same as the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,Above the national average,Same as the national average
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,Same as the national average,Above the national average,Above the national average,Below the national average,Same as the national average,Above the national average,Above the national average
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,Same as the national average,Same as the national average,Above the national average,Above the national average,Same as the national average,Above the national average,Same as the national average
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,Above the national average,Above the national average,Same as the national average,Below the national average,Above the national average,Above the national average,Same as the national average
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,Above the national average,Above the national average,Above the national average,Below the national average,Same as the national average,Below the national average,Same as the national average
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,Above the national average,Same as the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average
Acute Care Hospitals,Proprietary,Yes,Y,4,Above the national average,Above the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,Same as the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,4,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,Above the national average,Same as the national average
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,Same as the national average,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,Above the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average
