,h_type,h_ownership,h_es,h_ehr,h_rating,h_mortality,h_soc,h_ra,h_pex,h_eoc,h_toc,h_imaging
486,'Acute Care Hospitals','Voluntary non-profit - Church',Yes,Y,High Hospital Quality,'Same as the national average','Same as the national average','Same as the national average','Above the national average','Same as the national average','Above the national average','Same as the national average'
487,'Acute Care Hospitals','Voluntary non-profit - Private',Yes,Y,High Hospital Quality,'Same as the national average','Above the national average','Above the national average','Above the national average','Same as the national average','Same as the national average','Above the national average'
488,'Acute Care Hospitals','Voluntary non-profit - Other',Yes,Y,High Hospital Quality,'Same as the national average','Not Available','Same as the national average','Above the national average','Same as the national average','Same as the national average','Same as the national average'
489,'Acute Care Hospitals','Voluntary non-profit - Private',Yes,Y,High Hospital Quality,'Same as the national average','Same as the national average','Same as the national average','Above the national average','Same as the national average','Above the national average','Not Available'
490,'Acute Care Hospitals','Voluntary non-profit - Church',Yes,Y,High Hospital Quality,'Same as the national average','Above the national average','Same as the national average','Above the national average','Same as the national average','Same as the national average','Above the national average'
491,'Acute Care Hospitals','Voluntary non-profit - Private',Yes,Y,High Hospital Quality,'Same as the national average','Below the national average','Above the national average','Same as the national average','Same as the national average','Same as the national average','Same as the national average'
492,'Acute Care Hospitals','Voluntary non-profit - Private',No,Y,High Hospital Quality,'Same as the national average','Same as the national average','Same as the national average','Above the national average','Same as the national average','Same as the national average','Same as the national average'
493,'Acute Care Hospitals','Voluntary non-profit - Private',Yes,Y,High Hospital Quality,'Same as the national average','Same as the national average','Same as the national average','Above the national average','Same as the national average','Above the national average','Not Available'
494,'Critical Access Hospitals','Voluntary non-profit - Private',Yes,Y,High Hospital Quality,'Same as the national average','Not Available','Same as the national average','Above the national average','Same as the national average','Above the national average','Not Available'
495,'Critical Access Hospitals','Voluntary non-profit - Private',Yes,Y,High Hospital Quality,'Not Available','Not Available','Same as the national average','Above the national average','Same as the national average','Above the national average','Same as the national average'
496,'Critical Access Hospitals','Government - Local',Yes,Y,High Hospital Quality,'Not Available','Not Available','Same as the national average','Above the national average','Not Available','Same as the national average','Not Available'
497,'Critical Access Hospitals','Voluntary non-profit - Other',Yes,Y,High Hospital Quality,'Not Available','Not Available','Same as the national average','Above the national average','Same as the national average','Above the national average','Not Available'
498,'Critical Access Hospitals','Voluntary non-profit - Private',Yes,Y,High Hospital Quality,'Not Available','Not Available','Same as the national average','Above the national average','Same as the national average','Above the national average','Not Available'
499,'Critical Access Hospitals','Government - Local',Yes,Y,High Hospital Quality,'Not Available','Not Available','Same as the national average','Above the national average','Same as the national average','Above the national average','Not Available'
500,'Critical Access Hospitals','Voluntary non-profit - Private',Yes,Y,High Hospital Quality,'Not Available','Not Available','Same as the national average','Above the national average','Same as the national average','Above the national average','Same as the national average'
501,'Critical Access Hospitals','Government - Local',Yes,Y,High Hospital Quality,'Not Available','Not Available','Same as the national average','Above the national average','Same as the national average','Above the national average','Not Available'
502,'Critical Access Hospitals','Voluntary non-profit - Private',Yes,Y,High Hospital Quality,'Not Available','Not Available','Same as the national average','Above the national average','Same as the national average','Same as the national average','Not Available'
503,'Critical Access Hospitals','Government - Hospital District or Authority',Yes,Y,High Hospital Quality,'Not Available','Not Available','Same as the national average','Above the national average','Same as the national average','Above the national average','Not Available'
504,'Critical Access Hospitals','Voluntary non-profit - Private',Yes,Y,High Hospital Quality,'Same as the national average','Not Available','Same as the national average','Above the national average','Same as the national average','Above the national average','Not Available'
505,'Critical Access Hospitals','Government - Local',Yes,Y,High Hospital Quality,'Same as the national average','Not Available','Same as the national average','Above the national average','Same as the national average','Above the national average','Not Available'
506,'Critical Access Hospitals','Voluntary non-profit - Private',Yes,Y,High Hospital Quality,'Not Available','Not Available','Same as the national average','Above the national average','Same as the national average','Above the national average','Not Available'
507,'Critical Access Hospitals','Government - Hospital District or Authority',Yes,Y,High Hospital Quality,'Not Available','Not Available','Same as the national average','Above the national average','Same as the national average','Above the national average','Not Available'
508,'Critical Access Hospitals','Government - Hospital District or Authority',Yes,Y,High Hospital Quality,'Not Available','Not Available','Same as the national average','Above the national average','Same as the national average','Above the national average','Not Available'
509,'Critical Access Hospitals','Voluntary non-profit - Private',Yes,Y,High Hospital Quality,'Same as the national average','Not Available','Same as the national average','Above the national average','Same as the national average','Above the national average','Same as the national average'
510,'Acute Care Hospitals','Voluntary non-profit - Private',Yes,Y,High Hospital Quality,'Same as the national average','Not Available','Same as the national average','Above the national average','Same as the national average','Above the national average','Same as the national average'
511,'Acute Care Hospitals','Voluntary non-profit - Other',Yes,Y,High Hospital Quality,'Same as the national average','Above the national average','Same as the national average','Above the national average','Same as the national average','Above the national average','Same as the national average'
512,'Acute Care Hospitals','Voluntary non-profit - Private',Yes,Y,High Hospital Quality,'Same as the national average','Above the national average','Same as the national average','Below the national average','Same as the national average','Above the national average','Same as the national average'
513,'Acute Care Hospitals','Voluntary non-profit - Church',Yes,Y,High Hospital Quality,'Same as the national average','Not Available','Above the national average','Same as the national average','Same as the national average','Above the national average','Same as the national average'
514,'Acute Care Hospitals',Proprietary,No,Y,High Hospital Quality,'Same as the national average','Not Available','Same as the national average','Above the national average','Not Available','Not Available','Not Available'
515,'Acute Care Hospitals','Voluntary non-profit - Other',Yes,Y,High Hospital Quality,'Same as the national average','Same as the national average','Same as the national average','Above the national average','Same as the national average','Same as the national average','Same as the national average'
516,'Acute Care Hospitals','Government - Local',No,Y,High Hospital Quality,'Same as the national average','Not Available','Same as the national average','Above the national average','Not Available','Not Available','Not Available'
517,'Acute Care Hospitals','Voluntary non-profit - Private',Yes,Y,High Hospital Quality,'Same as the national average','Same as the national average','Same as the national average','Above the national average','Same as the national average','Above the national average','Same as the national average'
518,'Critical Access Hospitals','Voluntary non-profit - Private',Yes,Y,High Hospital Quality,'Same as the national average','Not Available','Same as the national average','Not Available','Not Available','Same as the national average','Not Available'
519,'Critical Access Hospitals','Voluntary non-profit - Private',Yes,Y,High Hospital Quality,'Same as the national average','Not Available','Same as the national average','Not Available','Same as the national average','Above the national average','Not Available'
520,'Acute Care Hospitals',Proprietary,Yes,Y,High Hospital Quality,'Same as the national average','Above the national average','Same as the national average','Above the national average','Above the national average','Above the national average','Same as the national average'
521,'Acute Care Hospitals','Voluntary non-profit - Private',Yes,Y,High Hospital Quality,'Above the national average','Above the national average','Below the national average','Above the national average','Above the national average','Same as the national average','Above the national average'
522,'Acute Care Hospitals',Proprietary,Yes,Y,High Hospital Quality,'Same as the national average','Above the national average','Above the national average','Above the national average','Same as the national average','Above the national average','Below the national average'
523,'Acute Care Hospitals','Voluntary non-profit - Private',Yes,Y,High Hospital Quality,'Same as the national average','Above the national average','Same as the national average','Below the national average','Same as the national average','Below the national average','Same as the national average'
524,'Acute Care Hospitals','Voluntary non-profit - Church',Yes,Y,High Hospital Quality,'Same as the national average','Same as the national average','Same as the national average','Above the national average','Same as the national average','Above the national average','Same as the national average'
525,'Acute Care Hospitals','Voluntary non-profit - Private',Yes,Y,High Hospital Quality,'Same as the national average','Above the national average','Above the national average','Same as the national average','Same as the national average','Above the national average','Same as the national average'
526,'Acute Care Hospitals','Voluntary non-profit - Other',Yes,Y,High Hospital Quality,'Same as the national average','Above the national average','Above the national average','Above the national average','Same as the national average','Same as the national average','Above the national average'
527,'Acute Care Hospitals','Government - Local',Yes,Y,High Hospital Quality,'Same as the national average','Above the national average','Above the national average','Same as the national average','Same as the national average','Same as the national average','Same as the national average'
528,'Acute Care Hospitals','Government - Hospital District or Authority',Yes,Y,High Hospital Quality,'Above the national average','Same as the national average','Same as the national average','Above the national average','Same as the national average','Same as the national average','Same as the national average'
529,'Acute Care Hospitals','Voluntary non-profit - Private',Yes,Y,High Hospital Quality,'Not Available','Above the national average','Same as the national average','Same as the national average','Same as the national average','Same as the national average','Above the national average'
530,'Acute Care Hospitals','Government - Hospital District or Authority',Yes,Y,High Hospital Quality,'Same as the national average','Above the national average','Above the national average','Same as the national average','Below the national average','Above the national average','Same as the national average'
531,'Acute Care Hospitals','Voluntary non-profit - Private',Yes,Y,High Hospital Quality,'Above the national average','Below the national average','Above the national average','Above the national average','Above the national average','Above the national average','Above the national average'
532,'Acute Care Hospitals',Proprietary,Yes,Y,High Hospital Quality,'Same as the national average','Above the national average','Same as the national average','Above the national average','Same as the national average','Above the national average','Same as the national average'
533,'Acute Care Hospitals','Voluntary non-profit - Private',Yes,Y,High Hospital Quality,'Same as the national average','Above the national average','Same as the national average','Same as the national average','Same as the national average','Same as the national average','Above the national average'
534,'Critical Access Hospitals','Voluntary non-profit - Private',Yes,Y,High Hospital Quality,'Same as the national average','Not Available','Same as the national average','Above the national average','Same as the national average','Same as the national average','Same as the national average'
535,'Critical Access Hospitals','Government - Local',Yes,Y,High Hospital Quality,'Same as the national average','Not Available','Same as the national average','Above the national average','Not Available','Not Available','Not Available'
536,'Critical Access Hospitals','Voluntary non-profit - Private',Yes,Y,High Hospital Quality,'Same as the national average','Not Available','Same as the national average','Above the national average','Not Available','Not Available','Not Available'
537,'Critical Access Hospitals','Government - Local',Yes,Y,High Hospital Quality,'Same as the national average','Not Available','Same as the national average','Above the national average','Not Available','Not Available','Not Available'
538,'Critical Access Hospitals','Voluntary non-profit - Private',Yes,Y,High Hospital Quality,'Same as the national average','Not Available','Above the national average','Same as the national average','Same as the national average','Above the national average','Same as the national average'
539,'Critical Access Hospitals','Government - Local',Yes,Y,High Hospital Quality,'Same as the national average','Not Available','Same as the national average','Same as the national average','Not Available','Not Available','Not Available'
540,'Acute Care Hospitals','Voluntary non-profit - Private',Yes,Y,High Hospital Quality,'Same as the national average','Same as the national average','Above the national average','Above the national average','Same as the national average','Below the national average','Same as the national average'
541,'Acute Care Hospitals','Voluntary non-profit - Private',Yes,Y,High Hospital Quality,'Same as the national average','Same as the national average','Above the national average','Below the national average','Same as the national average','Below the national average','Same as the national average'
542,'Acute Care Hospitals','Voluntary non-profit - Church',Yes,Y,High Hospital Quality,'Below the national average','Same as the national average','Above the national average','Above the national average','Same as the national average','Above the national average','Same as the national average'
543,'Acute Care Hospitals','Voluntary non-profit - Church',Yes,Y,High Hospital Quality,'Same as the national average','Below the national average','Above the national average','Above the national average','Same as the national average','Above the national average','Above the national average'
544,'Acute Care Hospitals','Voluntary non-profit - Private',Yes,Y,High Hospital Quality,'Same as the national average','Same as the national average','Above the national average','Above the national average','Same as the national average','Same as the national average','Same as the national average'
545,'Acute Care Hospitals',Proprietary,Yes,Y,High Hospital Quality,'Not Available','Not Available','Same as the national average','Same as the national average','Same as the national average','Same as the national average','Same as the national average'
546,'Critical Access Hospitals','Government - Hospital District or Authority',Yes,Y,High Hospital Quality,'Not Available','Not Available','Same as the national average','Above the national average','Same as the national average','Same as the national average','Same as the national average'
547,'Critical Access Hospitals','Voluntary non-profit - Private',Yes,Y,High Hospital Quality,'Same as the national average','Not Available','Same as the national average','Above the national average','Same as the national average','Above the national average','Not Available'
548,'Critical Access Hospitals','Voluntary non-profit - Private',Yes,Y,High Hospital Quality,'Same as the national average','Not Available','Same as the national average','Same as the national average','Same as the national average','Above the national average','Not Available'
549,'Acute Care Hospitals','Voluntary non-profit - Private',Yes,Y,High Hospital Quality,'Below the national average','Same as the national average','Above the national average','Above the national average','Same as the national average','Same as the national average','Same as the national average'
550,'Acute Care Hospitals','Voluntary non-profit - Private',Yes,Y,High Hospital Quality,'Same as the national average','Above the national average','Same as the national average','Same as the national average','Same as the national average','Above the national average','Same as the national average'
551,'Acute Care Hospitals','Voluntary non-profit - Other',Yes,Y,High Hospital Quality,'Same as the national average','Above the national average','Above the national average','Above the national average','Same as the national average','Above the national average','Same as the national average'
552,'Acute Care Hospitals','Voluntary non-profit - Private',Yes,Y,High Hospital Quality,'Same as the national average','Above the national average','Above the national average','Same as the national average','Same as the national average','Above the national average','Same as the national average'
553,'Critical Access Hospitals','Voluntary non-profit - Private',Yes,Y,High Hospital Quality,'Same as the national average','Not Available','Same as the national average','Above the national average','Same as the national average','Same as the national average','Not Available'
554,'Critical Access Hospitals','Voluntary non-profit - Private',Yes,Y,High Hospital Quality,'Same as the national average','Not Available','Same as the national average','Not Available','Below the national average','Same as the national average','Not Available'
555,'Critical Access Hospitals','Voluntary non-profit - Private',Yes,Y,High Hospital Quality,'Same as the national average','Not Available','Same as the national average','Above the national average','Same as the national average','Same as the national average','Same as the national average'
556,'Acute Care Hospitals','Voluntary non-profit - Private',Yes,Y,High Hospital Quality,'Same as the national average','Same as the national average','Same as the national average','Above the national average','Same as the national average','Same as the national average','Same as the national average'
557,'Critical Access Hospitals',Proprietary,Yes,Y,High Hospital Quality,'Same as the national average','Not Available','Same as the national average','Not Available','Not Available','Not Available','Same as the national average'
558,'Acute Care Hospitals','Voluntary non-profit - Private',Yes,Y,High Hospital Quality,'Same as the national average','Same as the national average','Same as the national average','Above the national average','Same as the national average','Below the national average','Same as the national average'
559,'Acute Care Hospitals','Voluntary non-profit - Other',Yes,Y,High Hospital Quality,'Above the national average','Below the national average','Above the national average','Same as the national average','Same as the national average','Below the national average','Same as the national average'
560,'Acute Care Hospitals','Voluntary non-profit - Private',Yes,Y,High Hospital Quality,'Same as the national average','Same as the national average','Same as the national average','Above the national average','Same as the national average','Same as the national average','Same as the national average'
561,'Acute Care Hospitals','Voluntary non-profit - Private',Yes,Y,High Hospital Quality,'Same as the national average','Below the national average','Above the national average','Above the national average','Same as the national average','Below the national average','Same as the national average'
562,'Acute Care Hospitals','Voluntary non-profit - Private',Yes,Y,High Hospital Quality,'Same as the national average','Above the national average','Above the national average','Same as the national average','Same as the national average','Below the national average','Above the national average'
563,'Acute Care Hospitals','Voluntary non-profit - Private',Yes,Y,High Hospital Quality,'Same as the national average','Above the national average','Same as the national average','Same as the national average','Same as the national average','Same as the national average','Same as the national average'
564,'Acute Care Hospitals','Voluntary non-profit - Private',Yes,Y,High Hospital Quality,'Same as the national average','Same as the national average','Above the national average','Above the national average','Same as the national average','Same as the national average','Same as the national average'
565,'Acute Care Hospitals','Voluntary non-profit - Private',Yes,Y,High Hospital Quality,'Above the national average','Same as the national average','Above the national average','Same as the national average','Same as the national average','Below the national average','Same as the national average'
566,'Critical Access Hospitals','Voluntary non-profit - Private',Yes,Y,High Hospital Quality,'Same as the national average','Not Available','Same as the national average','Above the national average','Not Available','Not Available','Not Available'
567,'Critical Access Hospitals','Voluntary non-profit - Private',Yes,Y,High Hospital Quality,'Same as the national average','Not Available','Same as the national average','Not Available','Not Available','Not Available','Same as the national average'
568,'Critical Access Hospitals','Voluntary non-profit - Private',Yes,Y,High Hospital Quality,'Same as the national average','Not Available','Above the national average','Above the national average','Not Available','Same as the national average','Same as the national average'
569,'Critical Access Hospitals','Voluntary non-profit - Private',Yes,Y,High Hospital Quality,'Same as the national average','Not Available','Same as the national average','Above the national average','Same as the national average','Not Available','Same as the national average'
570,'Acute Care Hospitals','Voluntary non-profit - Private',Yes,Y,High Hospital Quality,'Above the national average','Above the national average','Same as the national average','Below the national average','Same as the national average','Below the national average','Same as the national average'
571,'Acute Care Hospitals','Voluntary non-profit - Private',Yes,Y,High Hospital Quality,'Above the national average','Below the national average','Above the national average','Same as the national average','Same as the national average','Below the national average','Above the national average'
572,'Acute Care Hospitals','Voluntary non-profit - Private',Yes,Y,High Hospital Quality,'Above the national average','Above the national average','Above the national average','Same as the national average','Same as the national average','Below the national average','Above the national average'
573,'Acute Care Hospitals','Voluntary non-profit - Private',Yes,Y,High Hospital Quality,'Above the national average','Above the national average','Same as the national average','Below the national average','Same as the national average','Below the national average','Same as the national average'
574,'Acute Care Hospitals','Voluntary non-profit - Private',No,Y,High Hospital Quality,'Same as the national average','Above the national average','Same as the national average','Above the national average','Not Available','Not Available','Same as the national average'
575,'Acute Care Hospitals','Voluntary non-profit - Private',Yes,Y,High Hospital Quality,'Same as the national average','Above the national average','Below the national average','Same as the national average','Same as the national average','Same as the national average','Same as the national average'
576,'Acute Care Hospitals','Voluntary non-profit - Other',Yes,Y,High Hospital Quality,'Same as the national average','Above the national average','Above the national average','Below the national average','Same as the national average','Below the national average','Same as the national average'
577,'Acute Care Hospitals','Voluntary non-profit - Other',Yes,Y,High Hospital Quality,'Same as the national average','Same as the national average','Above the national average','Below the national average','Same as the national average','Below the national average','Above the national average'
578,'Acute Care Hospitals','Voluntary non-profit - Private',Yes,Y,High Hospital Quality,'Above the national average','Same as the national average','Same as the national average','Same as the national average','Same as the national average','Below the national average','Same as the national average'
579,'Acute Care Hospitals','Voluntary non-profit - Private',Yes,Y,High Hospital Quality,'Above the national average','Above the national average','Below the national average','Same as the national average','Same as the national average','Below the national average','Above the national average'
580,'Acute Care Hospitals','Voluntary non-profit - Private',Yes,Y,High Hospital Quality,'Same as the national average','Same as the national average','Same as the national average','Same as the national average','Same as the national average','Same as the national average','Not Available'
581,'Acute Care Hospitals','Government - Hospital District or Authority',Yes,Y,High Hospital Quality,'Same as the national average','Same as the national average','Same as the national average','Above the national average','Same as the national average','Same as the national average','Same as the national average'
582,'Acute Care Hospitals','Government - Federal',Yes,Y,High Hospital Quality,'Same as the national average','Same as the national average','Same as the national average','Above the national average','Same as the national average','Same as the national average','Not Available'
583,'Acute Care Hospitals','Voluntary non-profit - Other',Yes,Y,High Hospital Quality,'Same as the national average','Same as the national average','Above the national average','Above the national average','Same as the national average','Same as the national average','Same as the national average'
584,'Acute Care Hospitals','Voluntary non-profit - Private',Yes,Y,High Hospital Quality,'Above the national average','Above the national average','Same as the national average','Below the national average','Above the national average','Below the national average','Below the national average'
585,'Acute Care Hospitals','Voluntary non-profit - Private',Yes,Y,High Hospital Quality,'Same as the national average','Not Available','Same as the national average','Above the national average','Same as the national average','Same as the national average','Same as the national average'
586,'Acute Care Hospitals','Voluntary non-profit - Private',Yes,Y,High Hospital Quality,'Above the national average','Above the national average','Same as the national average','Above the national average','Same as the national average','Same as the national average','Same as the national average'
587,'Acute Care Hospitals','Voluntary non-profit - Private',Yes,Y,High Hospital Quality,'Below the national average','Above the national average','Above the national average','Above the national average','Same as the national average','Same as the national average','Same as the national average'
588,'Acute Care Hospitals','Voluntary non-profit - Private',Yes,Y,High Hospital Quality,'Above the national average','Same as the national average','Below the national average','Above the national average','Same as the national average','Below the national average','Same as the national average'
589,'Acute Care Hospitals','Voluntary non-profit - Private',Yes,Y,High Hospital Quality,'Same as the national average','Above the national average','Above the national average','Above the national average','Same as the national average','Below the national average','Above the national average'
590,'Acute Care Hospitals','Voluntary non-profit - Private',Yes,Y,High Hospital Quality,'Above the national average','Below the national average','Above the national average','Below the national average','Same as the national average','Below the national average','Same as the national average'
591,'Acute Care Hospitals','Voluntary non-profit - Church',Yes,Y,High Hospital Quality,'Not Available','Same as the national average','Same as the national average','Same as the national average','Not Available','Not Available','Not Available'
592,'Acute Care Hospitals','Voluntary non-profit - Private',Yes,Y,High Hospital Quality,'Same as the national average','Above the national average','Below the national average','Above the national average','Same as the national average','Below the national average','Not Available'
593,'Acute Care Hospitals','Voluntary non-profit - Private',Yes,Y,High Hospital Quality,'Same as the national average','Not Available','Same as the national average','Same as the national average','Same as the national average','Same as the national average','Not Available'
594,'Acute Care Hospitals','Voluntary non-profit - Private',Yes,Y,High Hospital Quality,'Same as the national average','Above the national average','Below the national average','Above the national average','Same as the national average','Same as the national average','Same as the national average'
595,'Critical Access Hospitals','Voluntary non-profit - Private',Yes,Y,High Hospital Quality,'Same as the national average','Not Available','Same as the national average','Above the national average','Not Available','Same as the national average','Not Available'
596,'Acute Care Hospitals','Voluntary non-profit - Private',Yes,Y,High Hospital Quality,'Same as the national average','Above the national average','Above the national average','Above the national average','Same as the national average','Below the national average','Above the national average'
597,'Acute Care Hospitals','Voluntary non-profit - Private',Yes,Y,High Hospital Quality,'Same as the national average','Above the national average','Same as the national average','Same as the national average','Same as the national average','Below the national average','Above the national average'
598,'Acute Care Hospitals','Government - Local',Yes,Y,High Hospital Quality,'Same as the national average','Above the national average','Above the national average','Same as the national average','Same as the national average','Same as the national average','Below the national average'
599,'Acute Care Hospitals','Government - Hospital District or Authority',Yes,Y,High Hospital Quality,'Below the national average','Above the national average','Above the national average','Above the national average','Same as the national average','Same as the national average','Below the national average'
600,'Acute Care Hospitals',Proprietary,Yes,Y,High Hospital Quality,'Same as the national average','Above the national average','Same as the national average','Above the national average','Same as the national average','Below the national average','Same as the national average'
601,'Acute Care Hospitals','Government - Local',Yes,Y,High Hospital Quality,'Below the national average','Above the national average','Above the national average','Below the national average','Same as the national average','Below the national average','Above the national average'
602,'Acute Care Hospitals','Government - Hospital District or Authority',Yes,Y,High Hospital Quality,'Same as the national average','Not Available','Same as the national average','Above the national average','Same as the national average','Same as the national average','Same as the national average'
603,'Acute Care Hospitals','Voluntary non-profit - Private',Yes,Y,High Hospital Quality,'Same as the national average','Above the national average','Same as the national average','Above the national average','Same as the national average','Below the national average','Same as the national average'
604,'Acute Care Hospitals','Voluntary non-profit - Private',Yes,Y,High Hospital Quality,'Same as the national average','Above the national average','Below the national average','Above the national average','Same as the national average','Same as the national average','Above the national average'
605,'Acute Care Hospitals','Government - Hospital District or Authority',Yes,Y,High Hospital Quality,'Same as the national average','Above the national average','Above the national average','Above the national average','Same as the national average','Same as the national average','Above the national average'
606,'Acute Care Hospitals',Proprietary,Yes,Y,High Hospital Quality,'Same as the national average','Not Available','Same as the national average','Above the national average','Same as the national average','Same as the national average','Not Available'
607,'Acute Care Hospitals','Voluntary non-profit - Private',Yes,Y,High Hospital Quality,'Above the national average','Same as the national average','Above the national average','Above the national average','Same as the national average','Below the national average','Above the national average'
608,'Acute Care Hospitals','Voluntary non-profit - Private',Yes,Y,High Hospital Quality,'Same as the national average','Above the national average','Above the national average','Same as the national average','Same as the national average','Same as the national average','Same as the national average'
609,'Acute Care Hospitals','Voluntary non-profit - Private',Yes,Y,High Hospital Quality,'Same as the national average','Above the national average','Above the national average','Same as the national average','Same as the national average','Below the national average','Same as the national average'
610,'Acute Care Hospitals','Government - Hospital District or Authority',Yes,Y,High Hospital Quality,'Same as the national average','Same as the national average','Above the national average','Above the national average','Same as the national average','Same as the national average','Same as the national average'
611,'Acute Care Hospitals','Voluntary non-profit - Other',Yes,Y,High Hospital Quality,'Same as the national average','Above the national average','Above the national average','Below the national average','Same as the national average','Same as the national average','Above the national average'
612,'Critical Access Hospitals','Voluntary non-profit - Private',Yes,Y,High Hospital Quality,'Same as the national average','Not Available','Same as the national average','Above the national average','Not Available','Not Available','Not Available'
613,'Critical Access Hospitals','Government - Local',Yes,Y,High Hospital Quality,'Same as the national average','Not Available','Same as the national average','Above the national average','Same as the national average','Same as the national average','Same as the national average'
614,'Critical Access Hospitals','Voluntary non-profit - Private',Yes,Y,High Hospital Quality,'Same as the national average','Not Available','Above the national average','Above the national average','Not Available','Not Available','Not Available'
615,'Critical Access Hospitals','Voluntary non-profit - Private',Yes,Y,High Hospital Quality,'Same as the national average','Not Available','Same as the national average','Above the national average','Not Available','Same as the national average','Not Available'
616,'Acute Care Hospitals','Voluntary non-profit - Private',Yes,Y,High Hospital Quality,'Same as the national average','Above the national average','Above the national average','Same as the national average','Same as the national average','Same as the national average','Below the national average'
617,'Acute Care Hospitals','Voluntary non-profit - Private',Yes,Y,High Hospital Quality,'Same as the national average','Above the national average','Same as the national average','Same as the national average','Same as the national average','Above the national average','Same as the national average'
618,'Critical Access Hospitals','Voluntary non-profit - Private',Yes,Y,High Hospital Quality,'Not Available','Not Available','Same as the national average','Not Available','Same as the national average','Above the national average','Not Available'
619,'Critical Access Hospitals','Voluntary non-profit - Private',Yes,Y,High Hospital Quality,'Same as the national average','Not Available','Same as the national average','Not Available','Same as the national average','Above the national average','Same as the national average'
620,'Critical Access Hospitals','Voluntary non-profit - Private',Yes,Y,High Hospital Quality,'Same as the national average','Not Available','Same as the national average','Same as the national average','Not Available','Not Available','Same as the national average'
621,'Acute Care Hospitals','Voluntary non-profit - Private',Yes,Y,High Hospital Quality,'Above the national average','Above the national average','Same as the national average','Above the national average','Same as the national average','Same as the national average','Same as the national average'
622,'Acute Care Hospitals','Voluntary non-profit - Other',Yes,Y,High Hospital Quality,'Same as the national average','Above the national average','Above the national average','Above the national average','Same as the national average','Above the national average','Below the national average'
623,'Acute Care Hospitals','Voluntary non-profit - Other',Yes,Y,High Hospital Quality,'Same as the national average','Above the national average','Same as the national average','Above the national average','Same as the national average','Above the national average','Same as the national average'
624,'Acute Care Hospitals','Voluntary non-profit - Private',Yes,Y,High Hospital Quality,'Same as the national average','Above the national average','Above the national average','Below the national average','Same as the national average','Above the national average','Above the national average'
625,'Acute Care Hospitals','Voluntary non-profit - Private',Yes,Y,High Hospital Quality,'Same as the national average','Above the national average','Above the national average','Above the national average','Same as the national average','Above the national average','Not Available'
626,'Acute Care Hospitals','Voluntary non-profit - Private',Yes,Y,High Hospital Quality,'Same as the national average','Same as the national average','Above the national average','Above the national average','Same as the national average','Above the national average','Same as the national average'
627,'Acute Care Hospitals','Voluntary non-profit - Private',Yes,Y,High Hospital Quality,'Above the national average','Above the national average','Same as the national average','Below the national average','Above the national average','Above the national average','Same as the national average'
628,'Acute Care Hospitals','Voluntary non-profit - Private',Yes,Y,High Hospital Quality,'Above the national average','Above the national average','Above the national average','Below the national average','Same as the national average','Below the national average','Same as the national average'
629,'Acute Care Hospitals','Voluntary non-profit - Private',Yes,Y,High Hospital Quality,'Above the national average','Same as the national average','Above the national average','Below the national average','Same as the national average','Same as the national average','Same as the national average'
630,'Acute Care Hospitals',Proprietary,Yes,Y,High Hospital Quality,'Above the national average','Above the national average','Same as the national average','Below the national average','Same as the national average','Same as the national average','Same as the national average'
631,'Acute Care Hospitals','Voluntary non-profit - Private',Yes,Y,High Hospital Quality,'Same as the national average','Above the national average','Same as the national average','Above the national average','Same as the national average','Same as the national average','Same as the national average'
632,'Acute Care Hospitals','Government - Hospital District or Authority',Yes,Y,High Hospital Quality,'Same as the national average','Same as the national average','Same as the national average','Above the national average','Same as the national average','Above the national average','Same as the national average'
633,'Acute Care Hospitals','Voluntary non-profit - Private',Yes,Y,High Hospital Quality,'Same as the national average','Same as the national average','Same as the national average','Above the national average','Same as the national average','Same as the national average','Same as the national average'
634,'Acute Care Hospitals','Voluntary non-profit - Private',Yes,Y,High Hospital Quality,'Same as the national average','Same as the national average','Above the national average','Above the national average','Same as the national average','Same as the national average','Same as the national average'
635,'Acute Care Hospitals','Voluntary non-profit - Private',Yes,Y,High Hospital Quality,'Above the national average','Same as the national average','Above the national average','Same as the national average','Same as the national average','Same as the national average','Same as the national average'
636,'Acute Care Hospitals','Voluntary non-profit - Private',Yes,Y,High Hospital Quality,'Same as the national average','Below the national average','Above the national average','Above the national average','Same as the national average','Above the national average','Same as the national average'
637,'Acute Care Hospitals','Voluntary non-profit - Private',Yes,Y,High Hospital Quality,'Same as the national average','Above the national average','Above the national average','Below the national average','Same as the national average','Same as the national average','Same as the national average'
638,'Acute Care Hospitals','Voluntary non-profit - Church',Yes,Y,High Hospital Quality,'Same as the national average','Same as the national average','Same as the national average','Above the national average','Same as the national average','Same as the national average','Same as the national average'
639,'Acute Care Hospitals','Voluntary non-profit - Church',Yes,Y,High Hospital Quality,'Same as the national average','Above the national average','Above the national average','Same as the national average','Same as the national average','Below the national average','Same as the national average'
640,'Acute Care Hospitals','Voluntary non-profit - Other',Yes,Y,High Hospital Quality,'Same as the national average','Same as the national average','Above the national average','Above the national average','Same as the national average','Same as the national average','Same as the national average'
641,'Acute Care Hospitals','Voluntary non-profit - Other',Yes,Y,High Hospital Quality,'Same as the national average','Below the national average','Above the national average','Same as the national average','Same as the national average','Same as the national average','Above the national average'
642,'Acute Care Hospitals','Voluntary non-profit - Private',Yes,Y,High Hospital Quality,'Same as the national average','Same as the national average','Same as the national average','Above the national average','Same as the national average','Same as the national average','Not Available'
